frequency,time
49.979,14.10.2024 02:04:08
49.979,14.10.2024 02:04:09
49.979,14.10.2024 02:04:10
49.979,14.10.2024 02:04:11
49.979,14.10.2024 02:04:12
49.979,14.10.2024 02:04:13
49.979,14.10.2024 02:04:14
49.979,14.10.2024 02:04:15
49.979,14.10.2024 02:04:16
49.979,14.10.2024 02:04:17
49.97,14.10.2024 02:04:18
49.97,14.10.2024 02:04:19
49.97,14.10.2024 02:04:20
49.97,14.10.2024 02:04:21
49.97,14.10.2024 02:04:22
49.97,14.10.2024 02:04:23
49.97,14.10.2024 02:04:24
49.97,14.10.2024 02:04:25
49.97,14.10.2024 02:04:26
49.97,14.10.2024 02:04:27
49.98,14.10.2024 02:04:28
49.98,14.10.2024 02:04:29
49.98,14.10.2024 02:04:30
49.98,14.10.2024 02:04:31
49.98,14.10.2024 02:04:32
49.98,14.10.2024 02:04:33
49.98,14.10.2024 02:04:34
49.98,14.10.2024 02:04:35
49.98,14.10.2024 02:04:36
49.98,14.10.2024 02:04:37
49.989,14.10.2024 02:04:38
49.989,14.10.2024 02:04:39
49.989,14.10.2024 02:04:40
49.989,14.10.2024 02:04:41
49.989,14.10.2024 02:04:42
49.989,14.10.2024 02:04:43
49.989,14.10.2024 02:04:44
49.989,14.10.2024 02:04:45
49.989,14.10.2024 02:04:46
49.989,14.10.2024 02:04:47
49.989,14.10.2024 02:04:48
49.989,14.10.2024 02:04:49
49.989,14.10.2024 02:04:50
49.989,14.10.2024 02:04:51
49.989,14.10.2024 02:04:52
49.989,14.10.2024 02:04:53
49.989,14.10.2024 02:04:54
49.989,14.10.2024 02:04:55
49.989,14.10.2024 02:04:56
49.989,14.10.2024 02:04:57
49.998,14.10.2024 02:04:58
49.998,14.10.2024 02:04:59
49.998,14.10.2024 02:05:00
49.998,14.10.2024 02:05:01
49.998,14.10.2024 02:05:02
49.998,14.10.2024 02:05:03
49.998,14.10.2024 02:05:04
49.998,14.10.2024 02:05:05
49.998,14.10.2024 02:05:06
49.998,14.10.2024 02:05:07
50.0,14.10.2024 02:05:08
50.0,14.10.2024 02:05:09
50.0,14.10.2024 02:05:10
50.0,14.10.2024 02:05:11
50.0,14.10.2024 02:05:12
50.0,14.10.2024 02:05:13
50.0,14.10.2024 02:05:14
50.0,14.10.2024 02:05:15
50.0,14.10.2024 02:05:16
50.0,14.10.2024 02:05:17
49.988,14.10.2024 02:05:18
49.988,14.10.2024 02:05:19
49.988,14.10.2024 02:05:20
49.988,14.10.2024 02:05:21
49.988,14.10.2024 02:05:22
49.988,14.10.2024 02:05:23
49.988,14.10.2024 02:05:24
49.988,14.10.2024 02:05:25
49.988,14.10.2024 02:05:26
49.988,14.10.2024 02:05:27
49.994,14.10.2024 02:05:28
49.994,14.10.2024 02:05:29
49.994,14.10.2024 02:05:30
49.994,14.10.2024 02:05:31
49.994,14.10.2024 02:05:32
49.994,14.10.2024 02:05:33
49.994,14.10.2024 02:05:34
49.994,14.10.2024 02:05:35
49.994,14.10.2024 02:05:36
49.994,14.10.2024 02:05:37
50.004,14.10.2024 02:05:38
50.004,14.10.2024 02:05:39
50.004,14.10.2024 02:05:40
50.004,14.10.2024 02:05:41
50.004,14.10.2024 02:05:42
50.004,14.10.2024 02:05:43
50.004,14.10.2024 02:05:44
50.004,14.10.2024 02:05:45
50.004,14.10.2024 02:05:46
50.004,14.10.2024 02:05:47
49.999,14.10.2024 02:05:48
49.999,14.10.2024 02:05:49
49.999,14.10.2024 02:05:50
49.999,14.10.2024 02:05:51
49.999,14.10.2024 02:05:52
49.999,14.10.2024 02:05:53
49.999,14.10.2024 02:05:54
49.999,14.10.2024 02:05:55
49.999,14.10.2024 02:05:56
49.999,14.10.2024 02:05:57
49.988,14.10.2024 02:05:58
49.988,14.10.2024 02:05:59
49.988,14.10.2024 02:06:00
49.988,14.10.2024 02:06:01
49.988,14.10.2024 02:06:02
49.988,14.10.2024 02:06:03
49.988,14.10.2024 02:06:04
49.988,14.10.2024 02:06:05
49.988,14.10.2024 02:06:06
