day,start,duration
22,1724319476836,0
22,1724319549673,0
22,1724319552664,0
22,1724319624674,0
22,1724319699663,0
22,1724319771663,0
22,1724319844673,0
22,1724319916674,0
22,1724319990674,0
22,1724320063674,0
22,1724320134674,0
22,1724320210668,0
22,1724320223609,0
22,1724320296667,0
22,1724320369674,0
22,1724320445663,0
22,1724320516664,0
22,1724320519663,0
22,1724320593678,0
22,1724320666677,0
22,1724320737663,0
22,1724320739674,0
22,1724320812663,0
22,1724320884663,0
22,1724320961665,0
22,1724320980609,0
22,1724321033611,0
22,1724321105668,0
22,1724321108602,0
22,1724321181663,0
22,1724321253663,0
22,1724321476667,0
22,1724321549663,0
22,1724321697674,0
22,1724321769663,0
22,1724321845663,0
22,1724321989674,0
22,1724321992664,0
22,1724322065663,0
22,1724322137674,0
22,1724322140663,0
22,1724322218674,0
22,1724322289663,0
22,1724322439602,0
22,1724322441668,0
22,1724322514678,0
22,1724322586663,0
22,1724322659610,0
22,1724322662673,0
22,1724322734674,0
22,1724322809602,0
22,1724322881614,0
22,1724323029663,0
22,1724323106663,0
22,1724323178673,0
22,1724323181610,0
22,1724323255664,0
22,1724323326604,0
22,1724323387678,0
22,1724323399674,0
22,1724323402611,0
22,1724323475674,0
22,1724323551681,0
22,1724323695674,0
22,1724323698673,0
22,1724323771675,0
22,1724323919664,0
22,1724323994663,0
22,1724324066600,0
22,1724324143663,0
22,1724324215673,0
22,1724324218664,0
22,1724324291663,0
22,1724324363676,0
22,1724324438606,0
22,1724324511668,0
22,1724324587663,0
22,1724324658663,0
22,1724324735678,0
22,1724324807673,0
22,1724324882674,0
22,1724324954600,0
22,1724325031609,0
22,1724325181601,0
22,1724325255683,0
22,1724325328611,0
22,1724325400674,0
22,1724325475610,0
22,1724325623604,0
22,1724325682664,0
22,1724325695673,0
22,1724325767668,0
22,1724325770674,0
22,1724325779607,0
22,1724325799668,0
22,1724325843674,0
22,1724325916611,0
22,1724325990664,0
22,1724326064679,0
22,1724326137688,0
22,1724326139674,0
22,1724326362674,0
22,1724326433674,0
22,1724326436677,0
22,1724326583664,0
22,1724326654663,0
22,1724326657674,0
22,1724326708673,0
22,1724326712668,0
22,1724326715612,0
22,1724326720674,0
22,1724326790664,0
22,1724326793674,0
22,1724326865607,0
22,1724327013674,0
22,1724327089616,0
22,1724327237602,0
22,1724327309678,0
22,1724327381674,0
22,1724327457679,0
22,1724327529674,0
22,1724327603663,0
22,1724327676663,0
22,1724327748663,0
22,1724327781674,0
22,1724327849617,0
22,1724327905674,0
22,1724327923613,0
22,1724328070673,0
22,1724328148603,0
22,1724328293674,0
22,1724328309663,0
22,1724328367612,0
22,1724328442667,0
22,1724328591600,0
22,1724328594679,0
22,1724328667663,0
22,1724328739674,0
22,1724328809663,0
22,1724328812678,0
22,1724328886674,0
22,1724328958601,0
22,1724329104674,0
22,1724329178674,0
22,1724329254664,0
22,1724329406610,0
22,1724329479613,0
22,1724329626663,0
22,1724329775663,0
22,1724329777663,0
22,1724329850610,0
22,1724329926663,0
22,1724329999674,0
22,1724330011674,0
22,1724330071663,0
22,1724330145668,0
22,1724330217673,0
22,1724330292663,0
22,1724330366674,0
22,1724330438673,0
22,1724330510663,0
22,1724330513664,0
22,1724330586674,0
22,1724330661674,0
22,1724330807663,0
22,1724330809674,0
22,1724330958610,0
22,1724331029674,0
22,1724331175607,0
22,1724331178674,0
22,1724331249678,0
22,1724331324663,0
22,1724331395674,0
22,1724331488667,0
22,1724331541674,0
22,1724331543674,0
22,1724331621674,0
22,1724331696674,0
22,1724331769663,0
22,1724331841663,0
22,1724331920663,0
22,1724331993607,0
22,1724332068608,0
22,1724332140614,0
22,1724332287682,0
22,1724332435663,0
22,1724332510672,0
22,1724332581613,0
22,1724332583663,0
22,1724332656601,0
22,1724332730674,0
22,1724332800674,0
22,1724332803610,0
22,1724332948611,0
22,1724333027668,0
22,1724333099598,0
22,1724333172674,0
22,1724333175671,0
22,1724333325625,0
22,1724333398667,0
22,1724333474668,0
22,1724333547663,0
22,1724333622674,0
22,1724333695610,0
22,1724333767674,0
22,1724333842674,0
22,1724333914687,0
22,1724333927609,0
22,1724334062667,0
22,1724334137663,0
22,1724334207674,0
22,1724334210664,0
22,1724334228663,0
22,1724334282674,0
22,1724334430664,0
22,1724334500667,0
22,1724334502673,0
22,1724334578608,0
22,1724334798674,0
22,1724334876663,0
22,1724334949610,0
22,1724335098664,0
22,1724335100601,0
22,1724335173674,0
22,1724335320674,0
22,1724335470664,0
22,1724335615678,0
22,1724335763674,0
22,1724335836610,0
22,1724335908626,0
22,1724335910667,0
22,1724335983663,0
22,1724336056684,0
22,1724336131663,0
22,1724336279686,0
22,1724336349663,0
22,1724336352673,0
22,1724336426674,0
22,1724336498677,0
22,1724336650605,0
22,1724336725663,0
22,1724336869667,0
22,1724336946663,0
22,1724337018663,0
22,1724337170668,0
22,1724337243603,0
22,1724337318609,0
22,1724337390611,0
22,1724337462667,0
22,1724337536667,0
22,1724337538674,0
22,1724337686678,0
22,1724337761677,0
22,1724337836675,0
22,1724337909674,0
22,1724337982610,0
22,1724337984663,0
22,1724338057659,0
22,1724338133664,0
22,1724338205729,0
22,1724338208604,0
22,1724338282664,0
22,1724338428664,0
22,1724338502664,0
22,1724338576674,0
22,1724338647674,0
22,1724338649602,0
22,1724338681663,0
22,1724338755674,0
22,1724338827673,0
22,1724338902674,0
22,1724339050674,0
22,1724339123673,0
22,1724339198663,0
22,1724339269674,0
22,1724339343674,0
22,1724339418611,0
22,1724361006514,0
22,1724361418577,0
22,1724361419625,0
22,1724361824677,0
22,1724362641686,0
22,1724362707699,0
22,1724363053684,0
22,1724363158612,0
22,1724363221606,0
22,1724363326602,0
22,1724363530532,0
22,1724364010607,0
22,1724364061702,0
22,1724364128626,0
22,1724364511679,0
22,1724366416668,2734
22,1724366433673,2522
22,1724366455701,3740
22,1724366460631,3668
22,1724370919674,0
23,1724371212673,3098
23,1724371273687,3181
23,1724371344681,0
23,1724371376067,0
23,1724371406686,0
23,1724371455675,2722
23,1724371472695,0
23,1724371514668,0
23,1724371576687,0
23,1724371602686,2530
23,1724371646679,0
23,1724371668688,2656
23,1724371735536,0
23,1724374723616,0
23,1724375849668,0
23,1724375914680,0
23,1724375934688,2752
23,1724376043633,0
23,1724376110691,3636
23,1724376239711,2738
23,1724376355037,3899
23,1724376380336,6085
23,1724376459694,0
23,1724376493700,3584
23,1724376509899,0
23,1724376515107,0
23,1724376520673,4177
23,1724376524850,3847
23,1724376541738,2971
23,1724376544709,2916
23,1724376561680,2993
23,1724376566558,0
23,1724376576675,0
23,1724376581608,0
23,1724376600669,0
23,1724376632523,2871
23,1724376639777,3512
23,1724376646620,0
23,1724376657612,2680
23,1724376661692,3030
23,1724376750707,0
23,1724376802571,0
23,1724376810680,0
23,1724376822681,0
23,1724376884683,3713
23,1724376940674,2651
23,1724376957566,0
23,1724376960679,0
23,1724376984851,0
23,1724377026668,3736
23,1724377034679,4993
23,1724377166684,3420
23,1724377220667,3232
23,1724377304611,4701
23,1724377445524,0
23,1724377580681,3292
23,1724377650677,3384
23,1724377859519,0
23,1724377923672,2588
23,1724378115679,3014
23,1724378307684,4514
23,1724378401697,0
23,1724378438689,0
23,1724378472678,0
23,1724378487190,0
23,1724378497614,3860
23,1724378508677,0
23,1724378510711,4209
23,1724378517565,0
23,1724378526679,0
23,1724378615675,2550
23,1724378673671,0
23,1724378711682,3313
23,1724378739686,0
23,1724378850692,3103
23,1724378879684,3584
23,1724378906502,0
23,1724378951682,0
23,1724378953971,2549
23,1724378956520,0
23,1724379025588,0
23,1724379030673,2627
23,1724379089678,0
23,1724379155682,0
23,1724379236696,2655
23,1724379242892,3523
23,1724379246415,0
23,1724379252719,0
23,1724379257921,0
23,1724379269697,3734
23,1724379273967,3445
23,1724379287002,5672
23,1724379309943,0
23,1724379327740,0
23,1724379338700,3014
23,1724379341714,2798
23,1724379344512,0
23,1724379391690,0
23,1724379402621,0
